QualificationID,JobID,QualificationType,FieldOfStudy,MinimumGrade,OtherDetails
5661,2907,NVQ Level 1,Vocational,,
5662,2908,Certificate in Nursing,Healthcare,Distinction,Probation period
5663,2908,NVQ Level 3,Vocational,Pass,Requires visa
5664,2908,O/L,General,Pass,Standard contract
5665,2909,NVQ Level 3,Vocational,,Training provided
5666,2909,Certificate in Nursing,Healthcare,Pass,
5667,2909,O/L,General,Pass,Standard contract
5668,2910,NVQ Level 2,Vocational,Distinction,Training provided
5669,2910,Certificate in Domestic Work,Domestic Services,,
5670,2911,Certificate in Hairdressing,General,,
5671,2912,Certificate in Caregiving,Healthcare,Merit,Training provided
5672,2912,NVQ Level 3,Vocational,,Requires visa
5673,2913,Certificate in Caregiving,Healthcare,Pass,Training provided
5674,2913,NVQ Level 4,Vocational,Distinction,Training provided
5675,2914,NVQ Level 3,Vocational,Pass,
5676,2915,A/L,General,Merit,
5677,2915,O/L,General,Merit,Standard contract
5678,2916,NVQ Level 4,Vocational,,
5679,2916,O/L,General,,Standard contract
5680,2917,NVQ Level 3,Vocational,Pass,Probation period
5681,2917,Certificate in Welding,Construction,Distinction,Requires visa
5682,2918,Certificate in Caregiving,Healthcare,Merit,Requires visa
5683,2918,NVQ Level 4,Vocational,Pass,
5684,2919,Certificate in Sewing,Textile,Merit,Training provided
5685,2920,Certificate in Cooking,Hospitality,Merit,Standard contract
5686,2921,O/L,General,Distinction,Training provided
5687,2922,O/L,General,Pass,Probation period
5688,2922,Certificate in Welding,Construction,Pass,Probation period
5689,2922,NVQ Level 4,Vocational,Pass,
5690,2923,NVQ Level 3,Vocational,Distinction,
5691,2923,O/L,General,,Probation period
5692,2923,A/L,General,Pass,Requires visa
5693,2924,Certificate in Plumbing,Construction,Pass,Standard contract
5694,2924,Certificate in Carpentry,Construction,Distinction,Probation period
5695,2924,NVQ Level 3,Vocational,,Standard contract
5696,2925,Certificate in Electrical Work,Construction,Merit,
5697,2925,NVQ Level 4,Vocational,Pass,Standard contract
5698,2925,Certificate in Carpentry,Construction,,Requires visa
5699,2926,Certificate in Carpentry,Construction,Merit,Training provided
5700,2927,Diploma in Nursing,Healthcare,,Training provided
5701,2927,A/L,General,Merit,Standard contract
5702,2928,Diploma in Nursing,Healthcare,Pass,Probation period
5703,2928,NVQ Level 4,Vocational,Distinction,Requires visa
5704,2929,Certificate in Heavy Vehicle Operation,Transportation,Distinction,
5705,2930,A/L,General,Merit,Standard contract
5706,2930,O/L,General,,Standard contract
5707,2931,NVQ Level 3,Vocational,Pass,
5708,2931,Certificate in Domestic Work,Domestic Services,Distinction,Probation period
5709,2932,NVQ Level 3,Vocational,Pass,Training provided
5710,2932,Certificate in Sewing,Textile,Merit,Training provided
5711,2932,O/L,General,,Standard contract
5712,2933,NVQ Level 2,Vocational,,Probation period
5713,2934,O/L,General,Distinction,Standard contract
5714,2934,NVQ Level 2,Vocational,Distinction,
5715,2935,O/L,General,,Probation period
5716,2935,NVQ Level 3,Vocational,Pass,Standard contract
5717,2936,Certificate in Driving,Transportation,,Standard contract
5718,2937,O/L,General,,Training provided
5719,2938,O/L,General,Distinction,Requires visa
5720,2938,NVQ Level 3,Vocational,Merit,Standard contract
5721,2939,NVQ Level 3,Vocational,Merit,Standard contract
5722,2940,Certificate in Caregiving,Healthcare,Merit,Standard contract
5723,2940,Certificate in Domestic Work,Domestic Services,Merit,
5724,2941,Certificate in IT,Information Technology,Merit,Standard contract
5725,2942,O/L,General,Merit,Standard contract
5726,2943,O/L,General,Pass,Standard contract
5727,2943,NVQ Level 3,Vocational,Pass,Probation period
5728,2943,NVQ Level 4,Vocational,Pass,Requires visa
5729,2944,NVQ Level 3,Vocational,,Requires visa
5730,2945,Certificate in Accounting,Business,Pass,
5731,2946,NVQ Level 3,Vocational,Pass,Training provided
5732,2946,Certificate in Cooking,Hospitality,Distinction,Standard contract
5733,2947,Certificate in Heavy Vehicle Operation,Transportation,Pass,Probation period
5734,2947,Certificate in Driving,Transportation,Merit,Probation period
5735,2947,O/L,General,Merit,Requires visa
5736,2948,NVQ Level 3,Vocational,Pass,Training provided
5737,2948,Certificate in Plumbing,Construction,Pass,Standard contract
5738,2948,Certificate in Electrical Work,Construction,Merit,Standard contract
5739,2949,NVQ Level 4,Vocational,,Standard contract
5740,2950,Certificate in Sewing,Textile,Distinction,Probation period
5741,2950,O/L,General,Distinction,
5742,2950,NVQ Level 3,Vocational,Distinction,
5743,2951,O/L,General,Pass,
5744,2951,Certificate in Sewing,Textile,,
5745,2951,NVQ Level 3,Vocational,Pass,
5746,2952,Certificate in Caregiving,Healthcare,Pass,Probation period
5747,2952,O/L,General,Pass,Probation period
5748,2952,Certificate in Domestic Work,Domestic Services,Pass,Training provided
5749,2953,Certificate in Domestic Work,Domestic Services,Pass,Probation period
5750,2953,O/L,General,Pass,Training provided
5751,2954,Certificate in Domestic Work,Domestic Services,Merit,
5752,2954,Certificate in Caregiving,Healthcare,Distinction,Requires visa
5753,2954,O/L,General,Distinction,Standard contract
5754,2955,Bachelor's Degree,General,Merit,
5755,2955,Diploma in IT,Information Technology,Distinction,
5756,2955,A/L,General,Merit,Standard contract
5757,2956,Certificate in Caregiving,Healthcare,Pass,Training provided
5758,2957,NVQ Level 3,Vocational,Distinction,Training provided
5759,2957,Certificate in Electrical Work,Construction,,
5760,2958,O/L,General,,
5761,2959,NVQ Level 3,Vocational,Distinction,Requires visa
5762,2959,O/L,General,Distinction,Training provided
5763,2960,O/L,General,Merit,Requires visa
5764,2961,Certificate in Caregiving,Healthcare,Pass,Probation period
5765,2962,NVQ Level 3,Vocational,,Requires visa
5766,2962,Certificate in Beauty Therapy,General,Merit,Standard contract
5767,2962,Certificate in Hairdressing,General,,Requires visa
5768,2963,O/L,General,Merit,Training provided
5769,2963,Certificate in Caregiving,Healthcare,Distinction,Training provided
5770,2963,Certificate in Domestic Work,Domestic Services,Pass,Training provided
5771,2964,O/L,General,,Standard contract
5772,2964,Certificate in Hairdressing,General,,
5773,2965,Certificate in Caregiving,Healthcare,Merit,Probation period
5774,2965,O/L,General,Distinction,Probation period
5775,2965,NVQ Level 2,Vocational,Merit,
5776,2966,NVQ Level 3,Vocational,Merit,Probation period
5777,2966,O/L,General,Distinction,
5778,2967,NVQ Level 2,Vocational,,Probation period
5779,2967,O/L,General,Pass,
5780,2968,O/L,General,,Standard contract
5781,2969,Certificate in Carpentry,Construction,Pass,Standard contract
5782,2970,A/L,General,Pass,
5783,2971,Certificate in Carpentry,Construction,,Training provided
5784,2972,NVQ Level 4,Vocational,Pass,Probation period
5785,2972,O/L,General,Distinction,Standard contract
5786,2973,NVQ Level 3,Vocational,Pass,
5787,2973,Diploma in Hospitality,Hospitality,Merit,Requires visa
5788,2973,Certificate in Cooking,Hospitality,Pass,Probation period
5789,2974,Certificate in Caregiving,Healthcare,Distinction,Standard contract
5790,2974,NVQ Level 2,Vocational,Pass,Standard contract
5791,2975,A/L,General,Pass,Training provided
5792,2975,NVQ Level 4,Vocational,Pass,
5793,2975,NVQ Level 3,Vocational,Pass,Probation period
5794,2976,O/L,General,Merit,Requires visa
5795,2976,Certificate in Caregiving,Healthcare,Merit,Standard contract
5796,2976,NVQ Level 2,Vocational,Distinction,
5797,2977,Certificate in IT,Information Technology,Merit,Standard contract
5798,2977,Diploma in IT,Information Technology,Merit,Requires visa
5799,2977,O/L,General,Pass,Requires visa
5800,2978,NVQ Level 3,Vocational,Pass,Probation period
5801,2978,O/L,General,Merit,
5802,2978,Certificate in Sewing,Textile,,Requires visa
5803,2979,Certificate in Caregiving,Healthcare,,
5804,2980,Certificate in Domestic Work,Domestic Services,,Requires visa
5805,2980,NVQ Level 3,Vocational,Pass,Standard contract
5806,2981,NVQ Level 2,Vocational,Distinction,Requires visa
5807,2982,O/L,General,Pass,Probation period
5808,2982,Certificate in Nursing,Healthcare,,Standard contract
5809,2983,A/L,General,Pass,
5810,2984,Certificate in Welding,Construction,Merit,
5811,2985,NVQ Level 3,Vocational,Merit,Requires visa
5812,2986,A/L,General,Pass,Standard contract
5813,2986,NVQ Level 4,Vocational,Merit,Probation period
5814,2986,Diploma in Nursing,Healthcare,Pass,Requires visa
5815,2987,O/L,General,,Probation period
5816,2987,Certificate in Heavy Vehicle Operation,Transportation,Merit,
5817,2987,Certificate in Driving,Transportation,Pass,Requires visa
5818,2988,O/L,General,Merit,Probation period
5819,2989,O/L,General,Pass,
5820,2989,Certificate in Welding,Construction,,Training provided
5821,2990,O/L,General,Merit,Training provided
5822,2991,Bachelor's Degree,General,Merit,Requires visa
5823,2992,NVQ Level 2,Vocational,,Requires visa
5824,2993,O/L,General,Distinction,Requires visa
5825,2994,O/L,General,,Probation period
5826,2994,NVQ Level 3,Vocational,Pass,Standard contract
5827,2995,NVQ Level 3,Vocational,,Probation period
5828,2996,NVQ Level 2,Vocational,,Probation period
5829,2996,NVQ Level 3,Vocational,Distinction,Probation period
5830,2997,NVQ Level 2,Vocational,Distinction,Requires visa
5831,2997,O/L,General,Merit,Requires visa
5832,2997,Certificate in Caregiving,Healthcare,,Standard contract
5833,2998,NVQ Level 4,Vocational,Merit,Probation period
5834,2999,O/L,General,Distinction,Requires visa
5835,2999,NVQ Level 3,Vocational,Distinction,Requires visa
5836,2999,Certificate in Welding,Construction,Merit,Requires visa
5837,3000,Diploma in Hospitality,Hospitality,Pass,Probation period
5838,3001,Certificate in Electrical Work,Construction,Distinction,
5839,3001,NVQ Level 4,Vocational,,Requires visa
5840,3001,Certificate in Plumbing,Construction,,
5841,3002,NVQ Level 4,Vocational,,Standard contract
5842,3002,Certificate in Hospitality,Hospitality,,Requires visa
5843,3002,O/L,General,Merit,Requires visa
5844,3003,Certificate in Cooking,Hospitality,Merit,Probation period
5845,3003,Diploma in Hospitality,Hospitality,Merit,Training provided
5846,3004,NVQ Level 3,Vocational,Pass,Requires visa
5847,3004,Certificate in Sewing,Textile,Merit,Standard contract
5848,3005,O/L,General,Distinction,Probation period
5849,3005,NVQ Level 3,Vocational,,Training provided
5850,3006,Certificate in Domestic Work,Domestic Services,Distinction,Requires visa
5851,3006,NVQ Level 3,Vocational,Distinction,Training provided
5852,3006,NVQ Level 2,Vocational,Pass,
5853,3007,Certificate in Plumbing,Construction,,Requires visa
5854,3007,Certificate in Electrical Work,Construction,Distinction,Standard contract
5855,3008,Certificate in Domestic Work,Domestic Services,Distinction,Probation period
5856,3008,NVQ Level 2,Vocational,Pass,
5857,3008,NVQ Level 3,Vocational,Merit,
5858,3009,Certificate in Domestic Work,Domestic Services,Pass,Probation period
5859,3009,O/L,General,,Standard contract
5860,3009,NVQ Level 3,Vocational,Distinction,Training provided
5861,3010,Certificate in Driving,Transportation,Pass,Standard contract
5862,3010,Certificate in Heavy Vehicle Operation,Transportation,,Standard contract
5863,3010,O/L,General,Merit,Training provided
5864,3011,O/L,General,Merit,Standard contract
5865,3012,A/L,General,,Requires visa
5866,3012,O/L,General,Merit,Training provided
5867,3012,Certificate in Nursing,Healthcare,,Training provided
5868,3013,Certificate in Caregiving,Healthcare,,Probation period
5869,3014,NVQ Level 4,Vocational,,
5870,3014,NVQ Level 3,Vocational,,
5871,3014,Certificate in Welding,Construction,,Training provided
5872,3015,NVQ Level 4,Vocational,Distinction,Requires visa
5873,3016,NVQ Level 4,Vocational,,
5874,3016,Certificate in Plumbing,Construction,Pass,Training provided
5875,3017,A/L,General,Distinction,Requires visa
5876,3018,Certificate in Caregiving,Healthcare,Pass,
5877,3019,Diploma in IT,Information Technology,Distinction,Requires visa
5878,3019,Certificate in Accounting,Business,Merit,Probation period
5879,3019,NVQ Level 2,Vocational,Merit,
5880,3020,NVQ Level 3,Vocational,,Requires visa
5881,3020,NVQ Level 4,Vocational,Distinction,Requires visa
5882,3021,NVQ Level 2,Vocational,Distinction,Training provided
5883,3021,Certificate in Caregiving,Healthcare,Merit,Requires visa
5884,3022,NVQ Level 4,Vocational,Merit,Requires visa
5885,3022,Certificate in Welding,Construction,Pass,Probation period
5886,3023,O/L,General,Merit,
5887,3023,Certificate in Cooking,Hospitality,,Requires visa
5888,3024,Certificate in Heavy Vehicle Operation,Transportation,Pass,Standard contract
5889,3024,O/L,General,Merit,Training provided
5890,3025,Certificate in Caregiving,Healthcare,Merit,Standard contract
5891,3025,NVQ Level 3,Vocational,Distinction,Requires visa
5892,3026,Certificate in Caregiving,Healthcare,Distinction,Training provided
5893,3026,O/L,General,Pass,Standard contract
5894,3026,Certificate in Domestic Work,Domestic Services,,
5895,3027,NVQ Level 4,Vocational,Merit,Training provided
5896,3027,Certificate in Welding,Construction,Merit,Standard contract
5897,3028,Certificate in Carpentry,Construction,Distinction,Requires visa
5898,3028,Certificate in Plumbing,Construction,Pass,Standard contract
5899,3028,NVQ Level 4,Vocational,Distinction,Training provided
5900,3029,Certificate in Carpentry,Construction,Distinction,
5901,3030,Certificate in Caregiving,Healthcare,Pass,Training provided
5902,3031,Diploma in Hospitality,Hospitality,Merit,Probation period
5903,3032,A/L,General,Pass,Requires visa
5904,3033,Certificate in Sewing,Textile,Distinction,Probation period
5905,3033,O/L,General,Distinction,Requires visa
5906,3033,NVQ Level 3,Vocational,Pass,Training provided
5907,3034,O/L,General,,
5908,3034,NVQ Level 3,Vocational,,
5909,3035,O/L,General,,Training provided
5910,3035,Certificate in Heavy Vehicle Operation,Transportation,,Training provided
5911,3035,Certificate in Driving,Transportation,Merit,Requires visa
5912,3036,O/L,General,Merit,Requires visa
5913,3036,NVQ Level 4,Vocational,Distinction,Standard contract
5914,3037,NVQ Level 3,Vocational,Merit,Training provided
5915,3037,Certificate in Nursing,Healthcare,Distinction,Standard contract
5916,3038,Certificate in Caregiving,Healthcare,,Requires visa
5917,3038,Certificate in Domestic Work,Domestic Services,Pass,
5918,3039,Certificate in Cooking,Hospitality,,
5919,3039,NVQ Level 3,Vocational,Distinction,
5920,3040,NVQ Level 3,Vocational,Merit,Probation period
5921,3040,Certificate in Welding,Construction,Pass,
5922,3040,O/L,General,Distinction,Probation period
5923,3041,A/L,General,Pass,Standard contract
5924,3042,O/L,General,,
5925,3042,Certificate in Hospitality,Hospitality,,Standard contract
5926,3043,NVQ Level 4,Vocational,Distinction,Training provided
5927,3043,Certificate in Electrical Work,Construction,Merit,Probation period
5928,3044,NVQ Level 2,Vocational,Distinction,Probation period
5929,3045,Certificate in IT,Information Technology,,Requires visa
5930,3046,NVQ Level 3,Vocational,Pass,Standard contract
5931,3047,O/L,General,,Probation period
5932,3047,Certificate in Cooking,Hospitality,Merit,Standard contract
5933,3048,Certificate in Masonry,Construction,Merit,Requires visa
5934,3048,Certificate in Plumbing,Construction,Pass,
5935,3048,Certificate in Electrical Work,Construction,,Requires visa
5936,3049,O/L,General,Merit,
5937,3050,Certificate in Domestic Work,Domestic Services,Pass,
5938,3050,O/L,General,Merit,Standard contract
5939,3051,Certificate in Sewing,Textile,Distinction,
5940,3051,O/L,General,Merit,Probation period
5941,3051,NVQ Level 4,Vocational,Pass,Training provided
5942,3052,O/L,General,Pass,Probation period
5943,3052,NVQ Level 3,Vocational,Distinction,Probation period
5944,3052,A/L,General,Merit,Probation period
5945,3053,Certificate in Masonry,Construction,,Standard contract
5946,3053,O/L,General,Pass,
5947,3053,Certificate in Welding,Construction,Merit,Requires visa
5948,3054,NVQ Level 3,Vocational,Merit,Standard contract
5949,3054,NVQ Level 4,Vocational,Distinction,Training provided
5950,3055,NVQ Level 4,Vocational,Pass,Standard contract
5951,3056,Certificate in Electrical Work,Construction,,Probation period
5952,3057,NVQ Level 3,Vocational,Distinction,Standard contract
5953,3057,Certificate in Domestic Work,Domestic Services,,Standard contract
5954,3058,Diploma in Nursing,Healthcare,,Training provided
5955,3058,NVQ Level 4,Vocational,Pass,Requires visa
5956,3059,O/L,General,Distinction,Requires visa
5957,3059,NVQ Level 3,Vocational,Distinction,Probation period
5958,3060,O/L,General,Distinction,Probation period
5959,3061,NVQ Level 3,Vocational,Distinction,Probation period
5960,3061,O/L,General,Pass,Standard contract
5961,3062,NVQ Level 3,Vocational,Merit,Standard contract
5962,3062,O/L,General,Merit,Training provided
5963,3062,A/L,General,Pass,Requires visa
5964,3063,A/L,General,Merit,Standard contract
5965,3064,NVQ Level 4,Vocational,Pass,
5966,3065,O/L,General,Merit,Standard contract
5967,3065,A/L,General,,
5968,3066,Diploma in Hospitality,Hospitality,,Training provided
5969,3066,Certificate in Hospitality,Hospitality,Merit,Requires visa
5970,3067,NVQ Level 3,Vocational,Pass,Training provided
5971,3067,NVQ Level 4,Vocational,Distinction,Standard contract
5972,3068,Certificate in Domestic Work,Domestic Services,Merit,
5973,3069,O/L,General,Pass,Probation period
5974,3069,NVQ Level 3,Vocational,Pass,Requires visa
5975,3069,Diploma in Nursing,Healthcare,Pass,Training provided
5976,3070,NVQ Level 3,Vocational,Merit,Probation period
5977,3071,Certificate in Masonry,Construction,Merit,Probation period
5978,3072,Certificate in Domestic Work,Domestic Services,Merit,
5979,3073,O/L,General,Distinction,
5980,3073,NVQ Level 4,Vocational,Merit,Training provided
5981,3074,NVQ Level 2,Vocational,Distinction,Requires visa
5982,3075,O/L,General,,Probation period
5983,3075,NVQ Level 3,Vocational,Distinction,Standard contract
5984,3076,NVQ Level 3,Vocational,Pass,Probation period
5985,3076,O/L,General,,Training provided
5986,3077,O/L,General,,
5987,3077,NVQ Level 3,Vocational,Merit,Standard contract
5988,3078,Certificate in Caregiving,Healthcare,Pass,Training provided
5989,3078,Certificate in Domestic Work,Domestic Services,Merit,
5990,3078,NVQ Level 2,Vocational,Distinction,Probation period
5991,3079,NVQ Level 3,Vocational,Pass,
5992,3079,Certificate in Domestic Work,Domestic Services,Pass,
5993,3080,Certificate in Sewing,Textile,,Standard contract
5994,3081,O/L,General,Merit,Standard contract
5995,3081,Certificate in Cooking,Hospitality,Merit,Requires visa
5996,3081,Certificate in Hospitality,Hospitality,,Requires visa
5997,3082,NVQ Level 3,Vocational,Distinction,Probation period
5998,3082,O/L,General,Pass,Requires visa
5999,3083,Certificate in Domestic Work,Domestic Services,Distinction,Requires visa
6000,3084,Certificate in Electrical Work,Construction,Distinction,
6001,3084,NVQ Level 4,Vocational,Distinction,Standard contract
6002,3084,Certificate in Carpentry,Construction,Pass,Training provided
6003,3085,Certificate in Nursing,Healthcare,Pass,Standard contract
6004,3085,NVQ Level 4,Vocational,Pass,Standard contract
6005,3086,O/L,General,,Requires visa
6006,3086,Certificate in Sewing,Textile,,Standard contract
6007,3086,NVQ Level 3,Vocational,Distinction,
6008,3087,O/L,General,,Requires visa
6009,3087,Certificate in Sewing,Textile,Merit,
6010,3088,NVQ Level 3,Vocational,Merit,
6011,3088,O/L,General,Distinction,Standard contract
6012,3088,NVQ Level 2,Vocational,,
6013,3089,NVQ Level 2,Vocational,Pass,Training provided
6014,3090,O/L,General,Pass,Requires visa
6015,3090,Certificate in Nursing,Healthcare,,Probation period
6016,3090,NVQ Level 4,Vocational,Merit,
6017,3091,NVQ Level 3,Vocational,Distinction,Standard contract
6018,3092,Certificate in Hospitality,Hospitality,Merit,Standard contract
6019,3092,Diploma in Hospitality,Hospitality,Distinction,
6020,3093,O/L,General,Merit,Training provided
6021,3094,Certificate in Sewing,Textile,Distinction,Probation period
6022,3094,O/L,General,Distinction,Probation period
6023,3094,NVQ Level 3,Vocational,Pass,Requires visa
6024,3095,Certificate in Plumbing,Construction,Distinction,Training provided
6025,3095,Certificate in Electrical Work,Construction,Merit,Requires visa
6026,3095,Certificate in Welding,Construction,,
6027,3096,Certificate in Plumbing,Construction,Pass,Training provided
6028,3097,NVQ Level 3,Vocational,Distinction,Training provided
6029,3097,NVQ Level 4,Vocational,Distinction,Training provided
6030,3097,O/L,General,Distinction,
6031,3098,NVQ Level 4,Vocational,Merit,Training provided
6032,3098,A/L,General,Pass,Probation period
6033,3098,Certificate in Hospitality,Hospitality,Pass,
6034,3099,NVQ Level 3,Vocational,Merit,Probation period
6035,3099,NVQ Level 4,Vocational,Merit,Requires visa
6036,3099,A/L,General,,Standard contract
6037,3100,NVQ Level 2,Vocational,Pass,Training provided
6038,3101,Certificate in Caregiving,Healthcare,Pass,Standard contract
6039,3101,NVQ Level 4,Vocational,Distinction,Probation period
6040,3101,O/L,General,Pass,Standard contract
6041,3102,NVQ Level 3,Vocational,Pass,Requires visa
6042,3102,O/L,General,Merit,Training provided
6043,3102,NVQ Level 4,Vocational,Pass,Requires visa
6044,3103,NVQ Level 4,Vocational,Pass,
6045,3103,O/L,General,Merit,Training provided
6046,3103,Certificate in Hospitality,Hospitality,Merit,Training provided
6047,3104,NVQ Level 4,Vocational,Merit,Standard contract
6048,3104,Certificate in Carpentry,Construction,Merit,Standard contract
6049,3104,Certificate in Welding,Construction,,Requires visa
6050,3105,NVQ Level 3,Vocational,,Training provided
6051,3105,Certificate in Domestic Work,Domestic Services,Pass,Standard contract
6052,3106,A/L,General,Merit,Requires visa
6053,3107,O/L,General,,
6054,3108,NVQ Level 2,Vocational,Distinction,Standard contract
6055,3108,Certificate in Caregiving,Healthcare,Merit,Training provided
6056,3109,Certificate in Nursing,Healthcare,Merit,Standard contract
6057,3110,Certificate in Hospitality,Hospitality,Distinction,Requires visa
6058,3111,NVQ Level 2,Vocational,,Standard contract
6059,3111,Certificate in Domestic Work,Domestic Services,Pass,Probation period
6060,3112,NVQ Level 3,Vocational,Merit,Requires visa
6061,3112,A/L,General,,Standard contract
6062,3112,Certificate in Caregiving,Healthcare,,Training provided
6063,3113,Certificate in Carpentry,Construction,Pass,
6064,3113,Certificate in Welding,Construction,Merit,
6065,3113,Certificate in Masonry,Construction,Merit,
6066,3114,Diploma in Hospitality,Hospitality,Merit,
6067,3114,NVQ Level 4,Vocational,Distinction,Standard contract
6068,3114,O/L,General,Pass,Requires visa
6069,3115,Certificate in Caregiving,Healthcare,Merit,Standard contract
6070,3116,NVQ Level 2,Vocational,Merit,Standard contract
6071,3117,NVQ Level 3,Vocational,Pass,
6072,3118,NVQ Level 4,Vocational,,Probation period
6073,3119,O/L,General,Distinction,Standard contract
6074,3119,Certificate in Sewing,Textile,Pass,Training provided
6075,3120,Certificate in Electrical Work,Construction,,Requires visa
6076,3121,NVQ Level 3,Vocational,Distinction,Standard contract
6077,3121,Certificate in Plumbing,Construction,Distinction,Standard contract
6078,3122,Certificate in Domestic Work,Domestic Services,Merit,
6079,3122,NVQ Level 2,Vocational,Distinction,Training provided
6080,3123,Diploma in Hospitality,Hospitality,Distinction,Requires visa
6081,3123,O/L,General,Pass,Standard contract
6082,3123,Certificate in Hospitality,Hospitality,Distinction,
6083,3124,NVQ Level 3,Vocational,Distinction,Standard contract
6084,3125,O/L,General,Pass,Training provided
6085,3126,A/L,General,,
6086,3126,Bachelor's Degree,General,Merit,
6087,3127,Certificate in Cooking,Hospitality,Distinction,Standard contract
6088,3127,NVQ Level 4,Vocational,,Probation period
6089,3128,O/L,General,,
6090,3128,Certificate in Caregiving,Healthcare,,Training provided
6091,3129,Certificate in Masonry,Construction,,
6092,3129,Certificate in Plumbing,Construction,Merit,Probation period
6093,3130,O/L,General,Merit,Training provided
6094,3131,Diploma in Nursing,Healthcare,Merit,
6095,3131,Certificate in Caregiving,Healthcare,Pass,Standard contract
6096,3132,Certificate in Plumbing,Construction,,Probation period
6097,3133,O/L,General,Distinction,
6098,3133,Certificate in Electrical Work,Construction,Merit,
6099,3133,Certificate in Carpentry,Construction,Merit,Requires visa
6100,3134,NVQ Level 4,Vocational,Merit,
6101,3135,NVQ Level 3,Vocational,,Probation period
6102,3135,Certificate in Sewing,Textile,Distinction,Standard contract
6103,3135,NVQ Level 4,Vocational,,
6104,3136,NVQ Level 3,Vocational,Pass,Standard contract
6105,3136,O/L,General,Merit,
6106,3137,O/L,General,,Standard contract
6107,3137,Diploma in Nursing,Healthcare,Distinction,Training provided
6108,3137,NVQ Level 3,Vocational,Distinction,Probation period
6109,3138,NVQ Level 3,Vocational,Distinction,Probation period
6110,3139,Certificate in Domestic Work,Domestic Services,,Standard contract
6111,3139,NVQ Level 2,Vocational,Distinction,Training provided
6112,3139,NVQ Level 3,Vocational,Distinction,Requires visa
6113,3140,NVQ Level 2,Vocational,,Requires visa
6114,3140,O/L,General,Merit,
6115,3140,Certificate in Domestic Work,Domestic Services,Distinction,Probation period
6116,3141,Certificate in Electrical Work,Construction,Pass,Probation period
6117,3141,Certificate in Sewing,Textile,,Requires visa
6118,3142,Diploma in Nursing,Healthcare,Merit,Requires visa
6119,3143,O/L,General,Pass,Requires visa
6120,3144,NVQ Level 2,Vocational,Pass,Standard contract
6121,3145,O/L,General,Merit,Training provided
6122,3146,Certificate in Sewing,Textile,Distinction,Standard contract
6123,3147,Certificate in Driving,Transportation,,Training provided
6124,3148,NVQ Level 3,Vocational,,
6125,3148,NVQ Level 4,Vocational,Merit,Probation period
6126,3149,O/L,General,,
6127,3149,Certificate in Plumbing,Construction,Pass,
6128,3149,Certificate in Masonry,Construction,,Training provided
6129,3150,NVQ Level 3,Vocational,,Requires visa
6130,3150,Certificate in Cooking,Hospitality,Merit,Standard contract
6131,3150,O/L,General,Merit,
6132,3151,NVQ Level 3,Vocational,Distinction,Standard contract
6133,3152,A/L,General,,Standard contract
6134,3152,O/L,General,Pass,Probation period
6135,3153,Certificate in Domestic Work,Domestic Services,,Standard contract
6136,3154,Certificate in Masonry,Construction,,Standard contract
6137,3154,Certificate in Welding,Construction,Distinction,Training provided
6138,3155,A/L,General,Pass,Probation period
6139,3155,Certificate in Nursing,Healthcare,Merit,Standard contract
6140,3156,Certificate in Carpentry,Construction,Distinction,
6141,3156,Certificate in Electrical Work,Construction,,
6142,3157,Certificate in Nursing,Healthcare,,Training provided
6143,3157,A/L,General,Distinction,
6144,3157,NVQ Level 3,Vocational,,Requires visa
6145,3158,Certificate in Carpentry,Construction,,Standard contract
6146,3158,Certificate in Welding,Construction,Distinction,
6147,3158,Certificate in Masonry,Construction,Distinction,Requires visa
6148,3159,NVQ Level 3,Vocational,Distinction,Standard contract
6149,3160,NVQ Level 3,Vocational,Distinction,Standard contract
6150,3160,Diploma in Hospitality,Hospitality,Pass,Requires visa
6151,3160,O/L,General,Distinction,Requires visa
6152,3161,A/L,General,Distinction,Standard contract
6153,3161,Certificate in Nursing,Healthcare,,
6154,3161,NVQ Level 4,Vocational,,
6155,3162,Diploma in Nursing,Healthcare,,Probation period
6156,3162,A/L,General,Distinction,Probation period
6157,3163,O/L,General,,Training provided
6158,3163,NVQ Level 3,Vocational,,Standard contract
6159,3164,NVQ Level 2,Vocational,Merit,
6160,3164,O/L,General,Pass,Training provided
6161,3164,NVQ Level 3,Vocational,Merit,Requires visa
6162,3165,Certificate in Plumbing,Construction,Pass,Training provided
6163,3165,Certificate in Electrical Work,Construction,Pass,Standard contract
6164,3166,O/L,General,,Standard contract
6165,3166,NVQ Level 3,Vocational,Pass,
6166,3167,O/L,General,Merit,Training provided
6167,3168,O/L,General,Distinction,Training provided
6168,3168,Certificate in Hairdressing,General,,Probation period
6169,3168,Certificate in Beauty Therapy,General,,Training provided
6170,3169,NVQ Level 4,Vocational,Pass,Requires visa
6171,3170,Diploma in Hospitality,Hospitality,Pass,Requires visa
6172,3170,O/L,General,Pass,Standard contract
6173,3170,NVQ Level 4,Vocational,Merit,Requires visa
6174,3171,Certificate in Domestic Work,Domestic Services,Distinction,Probation period
6175,3172,NVQ Level 2,Vocational,Pass,Training provided
6176,3173,O/L,General,,Training provided
6177,3174,Certificate in Masonry,Construction,Merit,Requires visa
6178,3174,Certificate in Welding,Construction,Pass,
6179,3174,Certificate in Carpentry,Construction,Merit,Requires visa
6180,3175,NVQ Level 3,Vocational,Distinction,Requires visa
6181,3176,O/L,General,Merit,
6182,3176,NVQ Level 4,Vocational,Distinction,Probation period
